,breadscrum,cod_item,cod_item_pai,nome,situacao,just_es_2grau,just_es_juizado_es,just_es_turmas,just_es_1grau_mil,just_es_2grau_mil,just_es_juizado_es_fp,just_tu_es_un,just_fed_1grau,just_fed_2grau,just_fed_juizado_es,just_fed_turmas,just_fed_nacional,just_fed_regional,just_trab_1grau,just_trab_2grau,just_trab_tst,just_trab_csjt,stf,stj,cjf,cnj,just_mil_uniao_1grau,just_mil_uniao_stm,just_mil_est_1grau,just_mil_est_tjm,just_elei_1grau,just_elei_2grau,just_elei_tse
100,2:1106:150:153,153,150,Liquidação Provisória por Arbitramento,A,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N
101,2:1106:150:154,154,150,Liquidação Provisória de Sentença pelo Procedimento Comum,A,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N
102,2:1106:155,155,1106,Procedimento de Cumprimento de Sentença/Decisão,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
103,2:1106:155:156,156,155,Cumprimento de sentença,A,S,S,N,S,S,S,N,S,S,N,N,N,N,S,S,S,N,N,N,N,N,N,N,S,S,S,S,S
104,2:1106:155:157,157,155,Cumprimento Provisório de Sentença,A,S,S,N,S,S,S,N,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,S,S,N
105,2:158,158,2,Processo de Execução,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
106,2:158:159,159,158,Execução de Título Extrajudicial,A,N,S,N,N,N,N,N,S,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
107,2:158:165,165,158,Insolvência Civil,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
108,2:158:165:166,166,165,Insolvência Requerida pelo Credor,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
109,2:158:165:167,167,165,Insolvência Requerida pelo Devedor ou pelo Espólio,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
110,2:158:169,169,158,Embargos,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
111,2:158:169:170,170,169,Embargos à Adjudicação,I,S,N,N,N,N,N,N,S,S,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N
112,2:158:169:171,171,169,Embargos à Arrematação,I,S,N,N,N,N,N,N,S,S,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N
113,2:158:169:172,172,169,Embargos à Execução,A,S,N,N,S,S,N,N,S,S,N,N,N,N,S,N,N,N,N,N,N,N,N,N,S,S,S,S,S
114,2:158:169:173,173,169,Embargos de Retenção por Benfeitorias,I,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
115,2:175,175,2,Processo Cautelar,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
