sigla;dsc_sigla
i1;I1 - Arrecadação com Custas e Emolumentos em relação à Despesa Total da Justiça
i2;I2 - Arrecadação com Receitas de Execução Fiscal em Relação à Despesa Total da Justiça
i2a;I2a - Arrecadação com Execução Fiscal e Impostos causa mortis em Relação à Despesa Total da Justiça
i2b;I2b - Arrecadação decorrente de Execução das Penalidades impostas pelos Órgãos de Fiscalização das Relações de Trabalho em relação à Despesa Total da Justiça
i3;I3 - Arrecadação com Execuções Previdenciárias em relação à Despesa Total da Justiça
i4;I4 - Arrecadação com Imposto de Renda em relação à Despesa Total da Justiça
i5;I5 - Valores Pagos aos Jurisdicionados em relação à Despesa Total da Justiça
i6;I6 - Saldo de Depósitos Judiciais Pendentes em relação à Despesa Total da Justiça
i7;I7 - Saldo de Depósitos Recursais Pendentes em relação à Despesa Total da Justiça
iad;IAD - Processos Baixados por Caso Novo
iad1;IAD1º - Processos Baixados por Caso Novo no 1º Grau
iad2;IAD2º - Processos Baixados por Caso Novo no 2º grau
iadc1;IADC1º - Processos Baixados por Caso Novo na fase de conhecimento do 1º Grau
iadccrim1;IADCCrim1º - Processos Baixados por Caso Novo Criminais na Fase de Conhecimento do 1º Grau
iadccrimje;IADCCrimJe - Processos Baixados por Caso Novo Criminais na Fase de Conhecimento dos Juizados Especiais
iadcje;IADCJe - Processos Baixados por Caso Novo na fase de conhecimento dos Juizados Especiais
iadcncrim1;IADCNCrim1º - Processos Baixados por Caso Novo Não-Criminais na Fase de Conhecimento do 1º Grau
iadcncrimje;IADCNCrimJe - Processos Baixados por Caso Novo Não-Criminais na Fase de Conhecimento dos Juizados Especiais
iadcrim;IADCrim - Processos Baixados por Caso Novo Criminais
iadcrim2;IADCrim2º - Processos Baixados por Caso Novo Criminais no 2º grau
iadcrimtr;IADCrimTr - Processos Baixados por Caso Novo Criminais nas Turmas Recursais
iadex1;IADEx1º - Processos Baixados por Caso Novo na fase de execução do 1º Grau
iadexje;IADExJe - Processos Baixados por Caso Novo na fase de execução dos Juizados Especiais
iadext1;IADExt1º - Processos Baixados por Caso Novo na Execução Extrajudicial do 1º Grau
iadextfisc1;IADExtFisc1º - Processos Baixados por Caso Novo na Execução Fiscal do 1º Grau
iadextje;IADExtJe - Processos Baixados por Caso Novo na Execução Extrajudicial dos Juizados Especiais
iadextnfisc1;IADExtNFisc1º - Processos Baixados por Caso Novo na Execução Extrajudicial não-Fiscal do 1º Grau
iadje;IADJe - Processos Baixados por Caso Novo nos Juizados Especiais
iadjud1;IADJud1º - Processos Baixados por Caso Novo na Execução Judicial do 1º Grau
iadjudcrimnpl1;IADJudCrimNPL1º - Processos Baixados por Caso Novo na Execução de Penas Não-Privativas de Liberdade do 1º Grau
iadjudcrimnplje;IADJudCrimNPLJe - Processos Baixados por Caso Novo na Execução de Penas Não-Privativas de Liberdade dos Juizados Especiais
iadjudcrimpl1;IADJudCrimPL1º - Processos Baixados por Caso Novo na Execução de Penas Privativas de Liberdade do 1º Grau
iadjudje;IADJudJe - Processos Baixados por Caso Novo na Execução Judicial dos Juizados Especiais
iadjudncrim1;IADJudNCrim1º - Processos Baixados por Caso Novo na Execução Judicial Não-Criminal do 1º Grau
iadjudncrimje;IADJudNCrimJe - Processos Baixados por Caso Novo na Execução Judicial Não-Criminal dos Juizados Especiais
iadncrim;IADNCrim - Processos Baixados por Caso Novo Não-Criminais
iadncrim2;IADNCrim2º - Processos Baixados por Caso Novo Não-Criminais no 2º grau
iadncrimtr;IADNCrimTr - Processos Baixados por Caso Novo Não-Criminais nas Turmas Recursais
iadstm;IADSTM – Índice de Atendimento à Demanda no STM
iadtr;IADTr - Processos Baixados por Caso Novo nas Turmas Recursais
iadtru;IADTRU - Processos Baixados por Caso Novo nas Turmas Regionais de Uniformização
ic;IC – Índice de Conciliação
ic1;IC1º – Índice de Conciliação do 1º grau
ic2;IC2º – Índice de Conciliação no 2º Grau
icc1;ICC1º – Índice de Conciliação na Fase de Conhecimento do 1º grau
iccje;ICCJE – Índice de Conciliação na Fase de Conhecimento dos Juizados Especiais
icex1;ICEx1º – Índice de Conciliação na Fase de Execução do 1º Grau
icexje;ICExJE – Índice de Conciliação na Fase de Execução dos Juizados Especiais
icje;ICJE – Índice de Conciliação na Fase de Conhecimento dos Juizados Especiais
ictr;ICTR – Índice de Conciliação nas Turmas Recursais
idporte;Identificador do porte do tribunal
impje;ImpJE - Índice de Impugnações dos Juizados Especiais
incex;IncEx - Total de Incidentes em Execução
incex1;IncEx1º - Incidentes em Execução no 1º Grau
incexfisc1;IncExFisc1º - Incidentes de Execução Fiscal no 1º Grau
incexj;IncExJ – Incidentes em Execução Julgados
incexje;IncExJE - Incidentes de Execução nos Juizados Especiais
incexnfisc1;IncExNFisc1º - Incidentes de Execução no 1º Grau, exceto em execuções fiscais e penais
incexp;IncExP - Total de Incidentes em Execução Pendentes
incexp1;IncExP1º - Incidentes em Execução Pendentes no 1º Grau
incexpfisc1;IncExPFisc1º - Incidentes de Execução Fiscal Pendentes no 1º Grau
incexpje;IncExPJE - Incidentes de Execução Pendentes nos Juizados Especiais
incexpnfisc1;IncExPNfisc1º - Incidentes de Execução Pendentes no 1º Grau, exceto em execuções fiscais e penais
inf1;Inf1 - Despesa com Tecnologia da Informação e Comunicação em relação à Despesa Total da Justiça
inf2;Inf2 - Número de Computadores por Usuário
ipm;IPM - Índice de Produtividade dos Magistrados
ipm1;IPM1º - Índice de Produtividade dos Magistrados no 1º Grau
ipm2;IPM2º - Índice de Produtividade dos Magistrados no 2º Grau
ipmc1;IPMC1º - Índice de Produtividade dos Magistrados na Fase de Conhecimento do 1º Grau
ipmcje;IPMCJE - Índice de Produtividade dos Magistrados na Fase de Conhecimento dos Juizados Especiais
ipmex1;IPMEx1º - Índice de Produtividade dos Magistrados na Fase de Execução do 1º Grau
ipmexje;IPMExJE - Índice de Produtividade dos Magistrados na Fase de Execução dos Juizados Especiais
ipmje;IPMJE - Índice de Produtividade dos Magistrados nos Juizados Especiais
ipmstm;IPMSTM – Índice de Produtividade dos Magistrados no STM
ipmtr;IPMTR - Índice de Produtividade dos Magistrados nas Turmas Recursais
ipmtru;IPMTRU - Índice de Produtividade dos Magistrados nas Turmas Regionais de Uniformização
